model,dataset,lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,params,flops,sec_per_epoch,peak_mem,n_seeds
nlinear,ETTh2,336,720,0.406932,0.006778351421990481,0.442412,0.0021870603558200984,242640,483840,0.6405,77.1,3
nlinear,ETTm1,96,96,0.3494806666666667,0.001722064265157773,0.3707276666666666,0.0019422217518433368,9312,18432,2.5511,69.2,3
nlinear,ETTm1,96,192,0.39054166666666673,0.0001564491397654094,0.39145633333333335,0.000296926477992999,18624,36864,3.2992666666666666,69.8,3
nlinear,ETTm1,96,336,0.4240296666666667,0.0016173834836962233,0.4132576666666667,0.0013101924794980987,32592,64512,2.955,70.8,3
nlinear,ETTm1,96,720,0.4858036666666667,2.2143471573667676e-05,0.4481193333333333,0.00013347034626961843,69840,138240,3.2596000000000003,73.5,3
nlinear,ETTm1,336,96,0.30493600000000004,0.0017757727895201052,0.346865,0.001841889518945131,32352,64512,2.7866666666666666,70.4,3
nlinear,ETTm1,336,192,0.34293700000000005,0.003495532720487663,0.369996,0.00309080717612733,64704,129024,3.3066666666666666,71.4,3
nlinear,ETTm1,336,336,0.37361533333333335,0.0015239837050747564,0.3863006666666666,0.0009528013084233691,113232,225792,3.0203333333333333,73.0,3
nlinear,ETTm1,336,720,0.43095666666666665,0.002598283343543054,0.4192396666666667,0.0015794803997939456,242640,483840,3.0124999999999997,77.1,3
nlinear,ETTm2,96,96,0.18325500000000003,0.00012757742747054006,0.2664276666666667,0.0008602931670850904,9312,18432,2.3760333333333334,69.2,3
nlinear,ETTm2,96,192,0.24714166666666668,0.0002270601975981954,0.30516933333333335,0.0005121487414153408,18624,36864,2.9039,69.8,3
nlinear,ETTm2,96,336,0.308506,0.00029940440878517343,0.34432999999999997,0.0003860582857548679,32592,64512,2.9741,70.8,3
nlinear,ETTm2,96,720,0.40889366666666666,0.0001355076873588156,0.39985633333333337,7.941242556005722e-05,69840,138240,3.2708666666666666,73.5,3
nlinear,ETTm2,336,96,0.16725066666666666,0.000653180169121307,0.2569183333333333,0.0002386322135281402,32352,64512,68.84433333333334,70.4,3
nlinear,ETTm2,336,192,0.22173433333333334,0.00040773071178577987,0.29394499999999996,0.00023882210952926123,64704,129024,2.8345,71.4,3
nlinear,ETTm2,336,336,0.27619166666666667,0.00019553601543792913,0.3292966666666666,0.00015131864833302022,113232,225792,3.1474666666666664,73.0,3
nlinear,ETTm2,336,720,0.37055466666666664,0.00014002975874196074,0.3861156666666667,6.789943544191502e-05,242640,483840,2.7139333333333333,77.1,3
nlinear,weather,96,96,0.19499466666666665,0.0001994049481164799,0.23408133333333334,0.000297094822124753,9312,18432,2.8541000000000003,70.9,3
nlinear,weather,96,192,0.24114099999999997,7.937253933206955e-06,0.2710166666666667,0.00014246871001496493,18624,36864,3.070733333333333,72.6,3
nlinear,weather,96,336,0.29316966666666666,0.00013660649081700604,0.3077223333333334,0.0001071089787708323,32592,64512,3.4949666666666666,75.1,3
nlinear,weather,96,720,0.36607866666666666,0.0004503524545656862,0.355507,0.00011399999999998911,69840,138240,3.8994,82.5,3
nlinear,weather,336,96,0.17371833333333334,0.001073067720758259,0.22351266666666667,0.0018955817928365277,32352,64512,3.5355000000000003,73.8,3
nlinear,weather,336,192,0.21747733333333333,0.00026310897615501307,0.26042133333333334,0.0003760217192308785,64704,129024,3.593833333333334,75.9,3
nlinear,weather,336,336,0.2655623333333333,0.00013335041557242293,0.2956896666666667,0.00016858924441773174,113232,225792,3.6707666666666667,79.0,3
nlinear,weather,336,720,0.3344996666666667,0.00021241547338488826,0.34431266666666666,0.0002372221181368596,242640,483840,3.8194,87.3,3
patchtst,ETTh1,96,96,0.37583833333333333,0.002853054561927134,0.3961073333333333,0.00039073946989433983,142626,0,3.3095666666666665,103.59999999999998,3
patchtst,ETTh1,96,192,0.44185800000000003,0.00021540427108111208,0.435713,0.0034255012771855367,216450,0,2.9784333333333333,105.0,3
patchtst,ETTh1,96,336,0.5067006666666667,0.0031671591897683158,0.4694773333333333,0.002193671427842693,327186,0,3.729033333333333,107.2,3
patchtst,ETTh1,96,720,0.5290956666666666,0.02162072686875569,0.49957566666666664,0.006684728890039819,622482,0,2.840866666666667,112.93333333333334,3
patchtst,ETTh1,336,96,0.431356,0.043489300626705876,0.43446466666666667,0.02419905713727982,328866,0,3.4676666666666667,154.1,3
patchtst,ETTh1,336,192,0.4443093333333333,0.005967302098380241,0.4452723333333333,0.004817701976392196,587010,0,3.4202999999999997,158.4,3
patchtst,ETTh1,336,336,0.5518136666666666,0.0582729892946409,0.503405,0.027493636154572194,974226,0,4.358366666666666,165.1,3
patchtst,ETTh1,336,720,0.6297186666666666,0.0294962545814436,0.5572356666666667,0.014103401764586184,2006802,0,3.403033333333333,183.4,3
patchtst,ETTh2,96,96,0.29755899999999996,0.006587416185425064,0.34550233333333336,0.004467877609484571,142626,0,3.6840333333333333,103.59999999999998,3
